"DEP","REG","REG_LABEL"
"971",1,"GUADELOUPE"
"972",2,"MARTINIQUE"
"973",3,"GUYANE"
"974",4,"LA REUNION"
"976",6,"MAYOTTE"
"78",11,"ILE DE FRANCE"
"75",11,"ILE DE FRANCE"
"77",11,"ILE DE FRANCE"
"91",11,"ILE DE FRANCE"
"92",11,"ILE DE FRANCE"
"93",11,"ILE DE FRANCE"
"94",11,"ILE DE FRANCE"
"95",11,"ILE DE FRANCE"
"45",24,"CENTRE VAL DE LOIRE"
"41",24,"CENTRE VAL DE LOIRE"
"36",24,"CENTRE VAL DE LOIRE"
"28",24,"CENTRE VAL DE LOIRE"
"18",24,"CENTRE VAL DE LOIRE"
"37",24,"CENTRE VAL DE LOIRE"
"21",27,"BOURGOGNE FRANCHE COMTE"
"58",27,"BOURGOGNE FRANCHE COMTE"
"25",27,"BOURGOGNE FRANCHE COMTE"
"39",27,"BOURGOGNE FRANCHE COMTE"
"70",27,"BOURGOGNE FRANCHE COMTE"
"71",27,"BOURGOGNE FRANCHE COMTE"
"90",27,"BOURGOGNE FRANCHE COMTE"
"89",27,"BOURGOGNE FRANCHE COMTE"
"50",28,"NORMANDIE"
"61",28,"NORMANDIE"
"14",28,"NORMANDIE"
"27",28,"NORMANDIE"
"76",28,"NORMANDIE"
"62",32,"HAUTS DE FRANCE"
"59",32,"HAUTS DE FRANCE"
"60",32,"HAUTS DE FRANCE"
"02",32,"HAUTS DE FRANCE"
"80",32,"HAUTS DE FRANCE"
"88",44,"GRAND EST"
"08",44,"GRAND EST"
"52",44,"GRAND EST"
"10",44,"GRAND EST"
"57",44,"GRAND EST"
"54",44,"GRAND EST"
"55",44,"GRAND EST"
"51",44,"GRAND EST"
"67",44,"GRAND EST"
"68",44,"GRAND EST"
"49",52,"PAYS DE LA LOIRE"
"53",52,"PAYS DE LA LOIRE"
"72",52,"PAYS DE LA LOIRE"
"44",52,"PAYS DE LA LOIRE"
"85",52,"PAYS DE LA LOIRE"
"22",53,"BRETAGNE"
"35",53,"BRETAGNE"
"29",53,"BRETAGNE"
"56",53,"BRETAGNE"
"79",75,"NOUVELLE AQUITAINE"
"19",75,"NOUVELLE AQUITAINE"
"33",75,"NOUVELLE AQUITAINE"
"40",75,"NOUVELLE AQUITAINE"
"24",75,"NOUVELLE AQUITAINE"
"16",75,"NOUVELLE AQUITAINE"
"23",75,"NOUVELLE AQUITAINE"
"47",75,"NOUVELLE AQUITAINE"
"87",75,"NOUVELLE AQUITAINE"
"64",75,"NOUVELLE AQUITAINE"
"86",75,"NOUVELLE AQUITAINE"
"17",75,"NOUVELLE AQUITAINE"
"66",76,"OCCITANIE"
"32",76,"OCCITANIE"
"48",76,"OCCITANIE"
"11",76,"OCCITANIE"
"46",76,"OCCITANIE"
"65",76,"OCCITANIE"
"30",76,"OCCITANIE"
"31",76,"OCCITANIE"
"12",76,"OCCITANIE"
"09",76,"OCCITANIE"
"34",76,"OCCITANIE"
"82",76,"OCCITANIE"
"81",76,"OCCITANIE"
"01",84,"AUVERGNE RHONE ALPES"
"15",84,"AUVERGNE RHONE ALPES"
"03",84,"AUVERGNE RHONE ALPES"
"42",84,"AUVERGNE RHONE ALPES"
"43",84,"AUVERGNE RHONE ALPES"
"74",84,"AUVERGNE RHONE ALPES"
"07",84,"AUVERGNE RHONE ALPES"
"26",84,"AUVERGNE RHONE ALPES"
"73",84,"AUVERGNE RHONE ALPES"
"69",84,"AUVERGNE RHONE ALPES"
"38",84,"AUVERGNE RHONE ALPES"
"63",84,"AUVERGNE RHONE ALPES"
"06",93,"PROVENCE ALPES COTE D AZUR"
"83",93,"PROVENCE ALPES COTE D AZUR"
"84",93,"PROVENCE ALPES COTE D AZUR"
"04",93,"PROVENCE ALPES COTE D AZUR"
"13",93,"PROVENCE ALPES COTE D AZUR"
"05",93,"PROVENCE ALPES COTE D AZUR"
"2A",94,"CORSE"
"2B",94,"CORSE"
